BIL,NO KAD PENGENALAN,NAMA MURID,KATA LALUAN
1,170101-10-1234,Muhammad Danial Bin Rahim,Cemerlang#2026
2,170202-10-2345,Nur Aishah Binti Ahmad,Bintang*789
3,170303-10-3456,Tan Wei Ming,Sekolah!123
4,170404-10-4567,Arjun A/L Kumaran,Pelajar#456
5,170505-10-5678,Nurul A'in Binti Dato' Yusof,Gemilang$99
6,170606-10-6789,Chong Mei Ling,Maju2026!
7,170707-10-7890,Kavitha D/O Rajan,Pintar@321
8,170808-10-8901,Wan Nurul Ain Binti Wan Zulkifli,Hebat#654
9,170909-10-9012,Lee Jia Jun,Wawasan$88
10,171010-10-0123,Dayang Anak Libau,Bumi#1234
